Address,City,State,Zip,links
15355 Dixie Hwy,Harvey,IL,60426,"https://www.zillow.com/homes/15355-Dixie-Hwy,Harvey-IL-60426_rb"
9806 S Ewing Ave,Chicago,IL,60617,"https://www.zillow.com/homes/9806-S-Ewing-Ave,Chicago-IL-60617_rb"
6415 S Langley Ave,Chicago,IL,60637,"https://www.zillow.com/homes/6415-S-Langley-Ave,Chicago-IL-60637_rb"
6934 S Wabash Ave,Chicago,IL,60637,"https://www.zillow.com/homes/6934-S-Wabash-Ave,Chicago-IL-60637_rb"
132 E 155th St,Harvey,IL,60426,"https://www.zillow.com/homes/132-E-155th-St,Harvey-IL-60426_rb"
5141 S Washtenaw Ave #1,Chicago,IL,60632,"https://www.zillow.com/homes/5141-S-Washtenaw-Ave-#1,Chicago-IL-60632_rb"
7244 S Saint Lawrence Ave #2,Chicago,IL,60619,"https://www.zillow.com/homes/7244-S-Saint-Lawrence-Ave-#2,Chicago-IL-60619_rb"
7957 S Wabash Ave,Chicago,IL,60619,"https://www.zillow.com/homes/7957-S-Wabash-Ave,Chicago-IL-60619_rb"
2814 N Kedzie Ave,Chicago,IL,60618,"https://www.zillow.com/homes/2814-N-Kedzie-Ave,Chicago-IL-60618_rb"
4933 W Roscoe St,Chicago,IL,60641,"https://www.zillow.com/homes/4933-W-Roscoe-St,Chicago-IL-60641_rb"
230 W 147th St,Harvey,IL,60426,"https://www.zillow.com/homes/230-W-147th-St,Harvey-IL-60426_rb"
7017 S Woodlawn Ave #1,Chicago,IL,60637,"https://www.zillow.com/homes/7017-S-Woodlawn-Ave-#1,Chicago-IL-60637_rb"
5221 S Michigan Ave,Chicago,IL,60615,"https://www.zillow.com/homes/5221-S-Michigan-Ave,Chicago-IL-60615_rb"
119 E 57th St,Chicago,IL,60637,"https://www.zillow.com/homes/119-E-57th-St,Chicago-IL-60637_rb"
14742 Page Ave,Harvey,IL,60426,"https://www.zillow.com/homes/14742-Page-Ave,Harvey-IL-60426_rb"
15213 Main St,Harvey,IL,60426,"https://www.zillow.com/homes/15213-Main-St,Harvey-IL-60426_rb"
